Step, DC+, DC-, Gain+, Gain-, Ref+, Ref-
228,4.582157,4.552062,42335.78783,34291.89102,2.048,1.811625
229,4.602294,4.572066,42530.12124,34469.85145,2.048,1.81325
230,4.622431,4.591851,42718.96702,34649.14082,2.048,1.814688
231,4.642303,4.611812,42908.60508,34828.99147,2.048,1.816437
232,4.663586,4.632742,43094.71426,35004.74078,2.048,1.818125
233,4.683767,4.652923,43287.08002,35185.49955,2.048,1.819438
234,4.703816,4.672928,43475.16527,35364.81259,2.048,1.821125
235,4.723865,4.69302,43664.90124,35547.95587,2.048,1.8225
236,4.743782,4.713069,43853.8956,35728.03383,2.048,1.824188
237,4.764007,4.733074,44043.17728,35908.46833,2.048,1.82575
238,4.784276,4.753123,44230.69114,36090.47835,2.048,1.827188
239,4.804325,4.772996,44419.24375,36274.69808,2.048,1.828688
240,4.823933,4.793089,44593.25771,36466.33263,2.048,1.830188
241,4.843982,4.813005,44783.79215,36647.76596,2.048,1.831813
242,4.864031,4.83323,44972.77539,36830.99332,2.048,1.83325
243,4.884124,4.853235,45160.60758,37014.67734,2.048,1.834438
244,4.90404,4.873328,45348.82789,37197.36919,2.048,1.836
245,4.924265,4.893289,45536.55112,37380.13543,2.048,1.837562
246,4.944358,4.913646,45725.41224,37564.60843,2.048,1.838875
247,4.964716,4.933563,45913.51671,37749.68554,2.048,1.840312
248,4.986483,4.952774,46098.35311,37939.90743,2.048,1.841875
249,5.006664,4.972867,46287.95987,38124.83872,2.048,1.843313
250,5.026581,4.99274,46476.01968,38309.77702,2.048,1.844563
251,5.046453,5.013097,46663.99745,38495.8031,2.048,1.845938
252,5.066811,5.033234,46891.20959,38721.47986,2.048,1.8475
253,5.086948,5.053459,47118.42172,38947.15663,2.048,1.848812
254,5.107129,5.073552,47345.63385,39172.8334,2.048,1.85
255,5.127266,5.093557,47572.84599,39398.51017,2.048,1.851375
256,5.147447,5.113606,47800.05812,39624.18694,2.048,1.852625
