time	V(vout)	V(vref)	V(vsensor)
3.104964285714347e-02	3.000000e+00	3.673467e+00	3.612492e+00
3.119535714285776e-02	3.000000e+00	3.673467e+00	3.612234e+00
3.134107142857205e-02	3.000000e+00	3.673467e+00	3.611977e+00
3.148678571428633e-02	3.000000e+00	3.673467e+00	3.611719e+00
3.163250000000063e-02	3.000000e+00	3.673467e+00	3.611462e+00
3.163350000000063e-02	3.000000e+00	3.673467e+00	3.611460e+00
3.165835714285779e-02	3.000000e+00	3.673467e+00	3.611416e+00
3.168321428571496e-02	3.000000e+00	3.673467e+00	3.611372e+00
3.170807142857213e-02	3.000000e+00	3.673467e+00	3.611328e+00
3.173292857142930e-02	3.000000e+00	3.673467e+00	3.611284e+00
3.175778571428647e-02	3.000000e+00	3.673467e+00	3.611240e+00
3.178264285714363e-02	3.000000e+00	3.673467e+00	3.611196e+00
3.180750000000080e-02	3.000000e+00	3.673467e+00	3.611152e+00
3.181650000000081e-02	3.000000e+00	3.673467e+00	3.611136e+00
3.182550000000082e-02	3.000000e+00	3.673467e+00	3.611121e+00
3.183450000000083e-02	3.000000e+00	3.673467e+00	3.611105e+00
3.184350000000084e-02	3.000000e+00	3.673467e+00	3.611089e+00
3.185250000000085e-02	3.000000e+00	3.673467e+00	3.611073e+00
3.186150000000085e-02	3.000000e+00	3.673467e+00	3.611057e+00
3.187050000000086e-02	3.000000e+00	3.673467e+00	3.611041e+00
3.187878571428659e-02	3.000000e+00	3.673467e+00	3.611026e+00
3.188707142857231e-02	3.000000e+00	3.673467e+00	3.611012e+00
3.189535714285803e-02	3.000000e+00	3.673467e+00	3.610997e+00
3.190364285714375e-02	3.000000e+00	3.673467e+00	3.610982e+00
3.191192857142948e-02	3.000000e+00	3.673467e+00	3.610968e+00
3.192021428571520e-02	3.000000e+00	3.673467e+00	3.610953e+00
3.192850000000092e-02	3.000000e+00	3.673467e+00	3.610938e+00
3.193992857142936e-02	3.000000e+00	3.673467e+00	3.610918e+00
3.195135714285780e-02	3.000000e+00	3.673467e+00	3.610898e+00
3.196278571428624e-02	3.000000e+00	3.673467e+00	3.610878e+00
3.197421428571469e-02	3.000000e+00	3.673467e+00	3.610858e+00
3.198564285714313e-02	3.000000e+00	3.673467e+00	3.610837e+00
3.199707142857157e-02	3.000000e+00	3.673467e+00	3.610817e+00
3.200850000000001e-02	3.000000e+00	3.673467e+00	3.610797e+00
3.203964285714290e-02	3.000000e+00	3.673467e+00	3.610742e+00
3.207078571428579e-02	3.000000e+00	3.673467e+00	3.610687e+00
3.210192857142868e-02	3.000000e+00	3.673467e+00	3.610632e+00
3.213307142857156e-02	3.000000e+00	3.673467e+00	3.610577e+00
3.216421428571445e-02	3.000000e+00	3.673467e+00	3.610522e+00
3.219535714285734e-02	3.000000e+00	3.673467e+00	3.610467e+00
3.222650000000023e-02	3.000000e+00	3.673467e+00	3.610412e+00
3.228750000000029e-02	3.000000e+00	3.673467e+00	3.610304e+00
3.234850000000035e-02	3.000000e+00	3.673467e+00	3.610196e+00
3.240950000000041e-02	3.000000e+00	3.673467e+00	3.610088e+00
3.247050000000047e-02	3.000000e+00	3.673467e+00	3.609980e+00
3.253150000000053e-02	3.000000e+00	3.673467e+00	3.609872e+00
3.259250000000059e-02	3.000000e+00	3.673467e+00	3.609764e+00
3.265350000000065e-02	3.000000e+00	3.673467e+00	3.609657e+00
3.265450000000066e-02	3.000000e+00	3.673467e+00	3.609655e+00
3.280021428571495e-02	3.000000e+00	3.673467e+00	3.609397e+00
3.294592857142923e-02	3.000000e+00	3.673467e+00	3.609140e+00
3.309164285714352e-02	3.000000e+00	3.673467e+00	3.608882e+00
3.323735714285781e-02	3.000000e+00	3.673467e+00	3.608625e+00
3.338307142857210e-02	3.000000e+00	3.673467e+00	3.608367e+00
3.352878571428639e-02	3.000000e+00	3.673467e+00	3.608110e+00
3.367450000000068e-02	3.000000e+00	3.673467e+00	3.607853e+00
3.367550000000068e-02	3.000000e+00	3.673467e+00	3.607851e+00
3.469650000000070e-02	3.000000e+00	3.673467e+00	3.606049e+00
